# This file contains all populations of all generations.
RS#	Cum.Gen	Index	Objective1	Objective2	Rank	CrowdingDistance	RealVar1	RealVar2	RealVar3	RealVar4	RealVar5	RealVar6	RealVar7
0	25	7	-8.480539e-01	-9.162795e-01	1	1.149863e-01	2.218298e-01	3.410295e-01	2.235965e-01	2.372977e+00	4.294670e+00	1.006774e-04	8.808851e-01	
0	25	8	-7.051600e-01	-9.190120e-01	1	1.119734e-01	3.673808e-01	1.102923e-01	2.193317e-01	2.979924e+00	4.297756e+00	1.704925e-04	8.750499e-01	
0	25	9	-3.014855e-01	-9.452834e-01	1	7.921778e-02	6.809877e-01	1.205392e-01	3.003543e-01	4.320810e+00	4.069347e+00	1.243407e-04	1.240751e+00	
0	25	10	-8.812354e-01	-9.031742e-01	1	7.514547e-02	1.797453e-01	1.177666e-01	2.235965e-01	3.018507e+00	4.294670e+00	1.006774e-04	8.750510e-01	
0	25	11	-2.229592e-01	-9.495090e-01	1	7.230280e-02	7.476509e-01	6.060045e-01	2.890411e-01	4.652240e+00	9.775435e+00	3.616991e-04	8.750616e-01	
0	25	12	-8.512605e-01	-9.155931e-01	1	6.731023e-02	2.190136e-01	1.241482e-01	2.263569e-01	2.728759e+00	4.294670e+00	1.006774e-04	8.740401e-01	
0	25	13	-6.642779e-01	-9.328032e-01	1	5.553233e-02	3.826351e-01	6.067533e-01	2.578898e-01	4.653820e+00	4.403051e+00	1.632832e-04	8.746695e-01	
0	25	14	-9.063197e-01	-8.270828e-01	1	5.447699e-02	1.148209e-01	1.241710e-01	2.346561e-01	2.887499e+00	3.962281e+00	1.011476e-04	8.773206e-01	
0	25	15	-6.920566e-01	-9.252356e-01	1	5.347199e-02	3.760121e-01	1.102736e-01	2.283682e-01	2.979924e+00	4.297756e+00	1.704925e-04	8.750499e-01	
0	25	16	-9.064305e-01	-8.150297e-01	1	5.186441e-02	1.082413e-01	1.241613e-01	2.346561e-01	2.887499e+00	3.957177e+00	1.007237e-04	8.773206e-01	
0	25	17	-3.342045e-01	-9.443305e-01	1	4.786515e-02	6.565859e-01	2.480099e-01	2.879761e-01	6.301941e+00	1.099189e+01	1.243407e-04	1.234704e+00	
0	25	18	-8.996640e-01	-8.758073e-01	1	4.322577e-02	1.443744e-01	1.053858e-01	2.265392e-01	2.097537e+00	5.888318e+00	1.002746e-04	8.735996e-01	
0	25	19	-8.952825e-01	-8.862183e-01	1	4.280096e-02	1.527332e-01	3.339003e-01	2.282015e-01	2.112890e+00	4.294670e+00	1.002566e-04	8.736165e-01	
0	25	20	-3.715760e-01	-9.436586e-01	1	4.060723e-02	6.253704e-01	1.221166e-01	2.887923e-01	5.951519e+00	1.103965e+01	1.023895e-04	1.265821e+00	
